n_fila,oficio,identificador,titulo,emisor,receptor,fecha,url_documento,clave_unica
212,58,2023-99-53-212,Oficio pronunciamiento con observaciones al EIA,"SEREMI de Vivienda y Urbanismo, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,17/01/2024 19:50:02,https://seia.sea.gob.cl/archivos/2024/01/18/4a6_ORD_58_SEREMI_MINVU_VALPARAISO_SE_PRONUNCIA_SOBRE_PROYECTO_LINEA_TRANSMISION_KIMAL_-LO_AGUIRRE.pdf,2023-99-53-212|https://seia.sea.gob.cl/archivos/2024/01/18/4a6_ORD_58_SEREMI_MINVU_VALPARAISO_SE_PRONUNCIA_SOBRE_PROYECTO_LINEA_TRANSMISION_KIMAL_-LO_AGUIRRE.pdf
213,123,2023-99-53-213,Visación de acta de reunión,"SEREMI de Energía, Región de Antofagasta",Servicio de Evaluación Ambiental Dirección Ejecutiva,19/01/2024 16:20:17,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160842666,2023-99-53-213|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160842666
214,771,2023-99-53-214,Oficio pronunciamiento con observaciones al EIA,Ilustre Municipalidad de Pudahuel,Servicio de Evaluación Ambiental Dirección Ejecutiva,22/01/2024 12:40:21,https://seia.sea.gob.cl/archivos/2024/01/22/c55_ID_20249930365_ORD_771_MUNICIPALIDAD_DE_PUDAHUEL_KIMAL_LO_AGUIRRE.pdf,2023-99-53-214|https://seia.sea.gob.cl/archivos/2024/01/22/c55_ID_20249930365_ORD_771_MUNICIPALIDAD_DE_PUDAHUEL_KIMAL_LO_AGUIRRE.pdf
215,000038,2023-99-53-215,Oficio pronunciamiento con observaciones al EIA,Ilustre Municipalidad de Punitaqui,Servicio de Evaluación Ambiental Dirección Ejecutiva,25/01/2024 18:35:51,https://seia.sea.gob.cl/archivos/2024/01/25/380_ORD._N__38_sobre_pronunciamiento_Linea_de_Transmicion_Electrica_HVDC_Kimal_-_Lo_Aguirre.pdf,2023-99-53-215|https://seia.sea.gob.cl/archivos/2024/01/25/380_ORD._N__38_sobre_pronunciamiento_Linea_de_Transmicion_Electrica_HVDC_Kimal_-_Lo_Aguirre.pdf
216,57,2023-99-53-216,Oficio pronunciamiento con observaciones al EIA,Ilustre Municipalidad de Llay Llay,Servicio de Evaluación Ambiental Dirección Ejecutiva,25/01/2024 19:21:06,https://seia.sea.gob.cl/archivos/2024/01/26/Ord._N_57_ILUSTRE_MUNICIPALIDAD_DE_LLAY_LLAY.pdf,2023-99-53-216|https://seia.sea.gob.cl/archivos/2024/01/26/Ord._N_57_ILUSTRE_MUNICIPALIDAD_DE_LLAY_LLAY.pdf
217,438/2024,2023-99-53-217,Oficio pronunciamiento con observaciones al EIA,"Subsecretaría de Servicios Sociales, Ministerio de Desarrollo Social y Familia.",Servicio de Evaluación Ambiental Dirección Ejecutiva,29/01/2024 16:30:12,https://seia.sea.gob.cl/archivos/2024/01/30/b21_ID_20249930386_OF_438_MINISTERIO_DE_DESARROLLO_SOCIAL_Y_FAMILIA_SE_PRONUNCIA_SOBRE_PROYECTO_KIMAL_-_LO_AGUIRRE.pdf,2023-99-53-217|https://seia.sea.gob.cl/archivos/2024/01/30/b21_ID_20249930386_OF_438_MINISTERIO_DE_DESARROLLO_SOCIAL_Y_FAMILIA_SE_PRONUNCIA_SOBRE_PROYECTO_KIMAL_-_LO_AGUIRRE.pdf
218,235,2023-99-53-218,Visación de acta de reunión,Ministerio de Vivienda y Urbanismo,Servicio de Evaluación Ambiental Dirección Ejecutiva,29/01/2024 16:36:36,https://seia.sea.gob.cl/archivos/2024/01/29/2ea_ID_20249930387_ORD_235_MINVU_RTE._VISACION_DEL_ACTA_DE_REUNION_PROYECTO_KIMAL_-_LO_AGUIRRE.pdf,2023-99-53-218|https://seia.sea.gob.cl/archivos/2024/01/29/2ea_ID_20249930387_ORD_235_MINVU_RTE._VISACION_DEL_ACTA_DE_REUNION_PROYECTO_KIMAL_-_LO_AGUIRRE.pdf
219,202499109118,2023-99-53-219,"Informe consolidado de solicitud de aclaraciones, rectificaciones y/o ampliaciones al EIA (ICSARA)",Servicio de Evaluación Ambiental Dirección Ejecutiva,Conexión Kimal Lo Aguirre S.A,29/01/2024 20:37:42,https://seia.sea.gob.cl/archivos/2024/01/29/ae8_ICSARA_Estudio_de_Impacto_Ambiental_del_Proyecto_Linea_de_Transmision_Electrica_HVDC_Kimal_-_Lo_Aguirre.pdf,2023-99-53-219|https://seia.sea.gob.cl/archivos/2024/01/29/ae8_ICSARA_Estudio_de_Impacto_Ambiental_del_Proyecto_Linea_de_Transmision_Electrica_HVDC_Kimal_-_Lo_Aguirre.pdf
220,,2023-99-53-220,Notificación de documento,Servicio de Evaluación Ambiental Dirección Ejecutiva,2 destinatarios,29/01/2024 20:45:20,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2161208258,2023-99-53-220|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2161208258
221,058,2023-99-53-221,Oficio pronunciamiento Municipalidad,Ilustre Municipalidad de La Ligua,Servicio de Evaluación Ambiental Dirección Ejecutiva,01/02/2024 17:04:30,https://seia.sea.gob.cl/archivos/2024/02/02/ORD._58_I._MUN._DE_LA_LIGUA_PRONUNCIAMIENTO_EIA_LINEA_DE_TRANSMISION_ELECTRICA_HDVC-KIMAL_-_LO_AGUIRRE..pdf,2023-99-53-221|https://seia.sea.gob.cl/archivos/2024/02/02/ORD._58_I._MUN._DE_LA_LIGUA_PRONUNCIAMIENTO_EIA_LINEA_DE_TRANSMISION_ELECTRICA_HDVC-KIMAL_-_LO_AGUIRRE..pdf
222,53-EA/2023,2023-99-53-222,Oficio no participación en la evaluación,"CONAF, Región de Atacama",Servicio de Evaluación Ambiental Dirección Ejecutiva,26/02/2024 17:21:17,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160559852,2023-99-53-222|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160559852
223,388,2023-99-53-223,Oficio no participación en la evaluación,"DGA, Región de Coquimbo",Servicio de Evaluación Ambiental Dirección Ejecutiva,06/03/2024 09:00:40,https://seia.sea.gob.cl/archivos/2024/03/06/24d_2023.pdf,2023-99-53-223|https://seia.sea.gob.cl/archivos/2024/03/06/24d_2023.pdf
224,36-EA/2024,2023-99-53-224,Visación de acta de terreno,"CONAF, Región de Atacama",Servicio de Evaluación Ambiental Dirección Ejecutiva,14/03/2024 09:24:21,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2161653453,2023-99-53-224|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2161653453
225,SE02-2603-2024,2023-99-53-225,Oficio no participación en la evaluación,"SEREMI de Bienes Nacionales, Región de Antofagasta",Servicio de Evaluación Ambiental Dirección Ejecutiva,04/06/2024 12:11:56,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2161945877,2023-99-53-225|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2161945877
226,202499109512,2023-99-53-226,Anexo Participación Ciudadana,Servicio de Evaluación Ambiental Dirección Ejecutiva,Conexión Kimal Lo Aguirre S.A,05/06/2024 18:11:17,https://seia.sea.gob.cl/archivos/2024/06/05/e74_Anexo_de_Participacion_Ciudadana.pdf,2023-99-53-226|https://seia.sea.gob.cl/archivos/2024/06/05/e74_Anexo_de_Participacion_Ciudadana.pdf
227,141/2023,2023-99-53-227,Visación de acta de reunión,"SEREMI de Minería, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,21/08/2024 15:26:53,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160518196,2023-99-53-227|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160518196
228,,2023-99-53-228,Carta solicitud de extensión de suspensión de plazo,Conexión Kimal Lo Aguirre S.A,2 destinatarios,27/09/2024 09:37:24,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163350027,2023-99-53-228|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163350027
229,20249900140,2023-99-53-229,Resolución de Extensión de la Suspensión de Plazo,Servicio de Evaluación Ambiental Dirección Ejecutiva,Conexión Kimal Lo Aguirre S.A,27/09/2024 18:23:55,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163357356,2023-99-53-229|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163357356
230,,2023-99-53-230,Notificación de documento,Servicio de Evaluación Ambiental Dirección Ejecutiva,2 destinatarios,27/09/2024 18:43:02,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163358511,2023-99-53-230|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163358511
231,CNX-KILO-000-AA-CAR-I-0221,2023-99-53-231,Carta titular,Conexión Kimal Lo Aguirre S.A,Servicio de Evaluación Ambiental Dirección Ejecutiva,08/10/2024 18:07:21,https://seia.sea.gob.cl/archivos/2024/10/08/2ad_17277277985701Carta_Entrega_Totem.pdf,2023-99-53-231|https://seia.sea.gob.cl/archivos/2024/10/08/2ad_17277277985701Carta_Entrega_Totem.pdf
232,202499103646,2023-99-53-232,Carta de respuesta,Servicio de Evaluación Ambiental Dirección Ejecutiva,Conexión Kimal Lo Aguirre S.A,08/10/2024 18:12:35,https://seia.sea.gob.cl/archivos/2024/10/08/60b_Carta_202499103646.pdf,2023-99-53-232|https://seia.sea.gob.cl/archivos/2024/10/08/60b_Carta_202499103646.pdf
233,,2023-99-53-233,Adenda,Conexión Kimal Lo Aguirre S.A,Servicio de Evaluación Ambiental Dirección Ejecutiva,22/11/2024 08:42:27,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163751748,2023-99-53-233|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163751748
234,202499101934,2023-99-53-234,Resolución Exenta,Servicio de Evaluación Ambiental Dirección Ejecutiva,57 destinatarios,22/11/2024 16:06:19,https://seia.sea.gob.cl/archivos/2024/11/22/Res._N_202499101934_AGT_Carta.pdf,2023-99-53-234|https://seia.sea.gob.cl/archivos/2024/11/22/Res._N_202499101934_AGT_Carta.pdf
235,,2023-99-53-235,Notificación de documento,Servicio de Evaluación Ambiental Dirección Ejecutiva,58 destinatarios,22/11/2024 16:08:45,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163791090,2023-99-53-235|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163791090
236,2024991021107,2023-99-53-236,Solicitud de evaluación de Adenda,Servicio de Evaluación Ambiental Dirección Ejecutiva,55 destinatarios,22/11/2024 16:47:08,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163791217,2023-99-53-236|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163791217
237,202499101960,2023-99-53-237,Resolución de apertura de PAC por modificaciones sustantivas a la EIA,Servicio de Evaluación Ambiental Dirección Ejecutiva,Conexión Kimal Lo Aguirre S.A,27/11/2024 19:07:54,https://seia.sea.gob.cl/archivos/2024/11/27/aa0_Res._Ex._202499101960_Modificacion_Sustantiva.pdf,2023-99-53-237|https://seia.sea.gob.cl/archivos/2024/11/27/aa0_Res._Ex._202499101960_Modificacion_Sustantiva.pdf
238,,2023-99-53-238,Notificación de documento,Servicio de Evaluación Ambiental Dirección Ejecutiva,2 destinatarios,27/11/2024 19:16:36,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163825236,2023-99-53-238|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163825236
239,CNX-KILO-000-AA-CAR-I-0230,2023-99-53-239,Solicitud de Visacion Extracto,Conexión Kimal Lo Aguirre S.A,Servicio de Evaluación Ambiental Dirección Ejecutiva,28/11/2024 14:43:43,https://seia.sea.gob.cl/archivos/2024/11/28/f54_Visacion_Texto.pdf,2023-99-53-239|https://seia.sea.gob.cl/archivos/2024/11/28/f54_Visacion_Texto.pdf
240,2024990039,2023-99-53-240,Carta visación de extracto,Servicio de Evaluación Ambiental Dirección Ejecutiva,Conexión Kimal Lo Aguirre S.A,28/11/2024 17:24:13,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163830260,2023-99-53-240|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163830260
241,,2023-99-53-241,Notificación de documento,Servicio de Evaluación Ambiental Dirección Ejecutiva,2 destinatarios,28/11/2024 17:29:02,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163833810,2023-99-53-241|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163833810
242,,2023-99-53-242,Registro de publicación del extracto de modificaciones sustantivas a la EIA en Diario Oficial,Servicio de Evaluación Ambiental Dirección Ejecutiva,,04/12/2024 14:52:09,https://seia.sea.gob.cl/archivos/2024/12/04/720_Registro_publicacion_Diario_Oficial.pdf,2023-99-53-242|https://seia.sea.gob.cl/archivos/2024/12/04/720_Registro_publicacion_Diario_Oficial.pdf
243,,2023-99-53-243,Registro de publicaciĂłn del extracto de modificaciones sustantivas a la EIA en diario Las Últimas Noticias,Servicio de Evaluación Ambiental Dirección Ejecutiva,,04/12/2024 14:59:40,https://seia.sea.gob.cl/archivos/2024/12/04/7c2_Registro_publicacion_Las_ultimas_noticias_.pdf,2023-99-53-243|https://seia.sea.gob.cl/archivos/2024/12/04/7c2_Registro_publicacion_Las_ultimas_noticias_.pdf
244,2024991021149,2023-99-53-244,Oficio envío Adenda a participación ciudadana,Servicio de Evaluación Ambiental Dirección Ejecutiva,46 destinatarios,04/12/2024 18:36:58,https://seia.sea.gob.cl/archivos/2024/12/04/102_Oficio_envio_Adenda.pdf,2023-99-53-244|https://seia.sea.gob.cl/archivos/2024/12/04/102_Oficio_envio_Adenda.pdf
245,02950/2024,2023-99-53-245,Oficio pronunciamiento con observaciones sobre adenda,"Gobierno Regional, Región de Antofagasta",Servicio de Evaluación Ambiental Dirección Ejecutiva,06/12/2024 17:58:18,https://seia.sea.gob.cl/archivos/2024/12/09/e72_GORE_Antofagasta.pdf,2023-99-53-245|https://seia.sea.gob.cl/archivos/2024/12/09/e72_GORE_Antofagasta.pdf
246,36556,2023-99-53-246,Oficio pronunciamiento conforme sobre adenda,"División de Normas, Ministerio de Transporte y Telecomunicaciones",4 destinatarios,06/12/2024 18:28:53,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163890745,2023-99-53-246|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163890745
247,36793/2024 SRM-COQU,2023-99-53-247,Oficio pronunciamiento conforme sobre adenda,"SEREMI de Transportes y Telecomunicaciones, Región de Coquimbo",Servicio de Evaluación Ambiental Dirección Ejecutiva,09/12/2024 15:44:00,https://seia.sea.gob.cl/archivos/2024/12/09/OFICIO_36793_SEREMI_MTT_Coquimbo.pdf,2023-99-53-247|https://seia.sea.gob.cl/archivos/2024/12/09/OFICIO_36793_SEREMI_MTT_Coquimbo.pdf
248,636,2023-99-53-248,Oficio pronunciamiento conforme sobre adenda,"SEREMI MOP, Región de Antofagasta",7 destinatarios,09/12/2024 16:11:58,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163798941,2023-99-53-248|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163798941
249,142/2023,2023-99-53-249,Oficio no participación en la evaluación,"SEREMI de Minería, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,10/12/2024 08:54:25,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160518228,2023-99-53-249|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160518228
250,S/N,2023-99-53-250,Documento de apoyo,,Servicio de Evaluación Ambiental Dirección Ejecutiva,11/12/2024 09:03:42,https://seia.sea.gob.cl/archivos/2024/12/12/5e4_No_valido.pdf,2023-99-53-250|https://seia.sea.gob.cl/archivos/2024/12/12/5e4_No_valido.pdf
251,1722/2024,2023-99-53-251,Oficio pronunciamiento conforme sobre adenda,Subsecretaría de Energía,Servicio de Evaluación Ambiental Dirección Ejecutiva,11/12/2024 12:34:35,https://seia.sea.gob.cl/archivos/2024/12/12/715_1722_Subsecretaria_de_Energia.pdf,2023-99-53-251|https://seia.sea.gob.cl/archivos/2024/12/12/715_1722_Subsecretaria_de_Energia.pdf
252,727,2023-99-53-252,Oficio pronunciamiento conforme sobre adenda,SEREMI de Desarrollo Social Y Familia Región de Atacama,Servicio de Evaluación Ambiental Dirección Ejecutiva,11/12/2024 15:23:11,https://seia.sea.gob.cl/archivos/2024/12/12/b94_727_SEREMI_D._Social_y_Familia__Atacama.pdf,2023-99-53-252|https://seia.sea.gob.cl/archivos/2024/12/12/b94_727_SEREMI_D._Social_y_Familia__Atacama.pdf
253,616,2023-99-53-253,Oficio pronunciamiento conforme sobre adenda,"SEREMI de Obras Públicas, Región de Valparaíso",5 destinatarios,11/12/2024 15:55:57,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163930115,2023-99-53-253|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163930115
254,1281,2023-99-53-254,Oficio pronunciamiento con observaciones sobre adenda,"SEREMI MOP, Región de Coquimbo",Servicio de Evaluación Ambiental Dirección Ejecutiva,11/12/2024 16:00:32,https://seia.sea.gob.cl/archivos/2024/12/12/3ae_1281_Seremi_MOP_Coquimbo.pdf,2023-99-53-254|https://seia.sea.gob.cl/archivos/2024/12/12/3ae_1281_Seremi_MOP_Coquimbo.pdf
255,4079,2023-99-53-255,Oficio no participación en la evaluación,"SEREMI de Bienes Nacionales, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,12/12/2024 17:07:30,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163941735,2023-99-53-255|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163941735
256,965,2023-99-53-256,Oficio pronunciamiento con observaciones sobre adenda,Ilustre Municipalidad de Cabildo,Servicio de Evaluación Ambiental Dirección Ejecutiva,13/12/2024 14:17:13,https://seia.sea.gob.cl/archivos/2024/12/13/0d5_965_Muni_Cabildo.pdf,2023-99-53-256|https://seia.sea.gob.cl/archivos/2024/12/13/0d5_965_Muni_Cabildo.pdf
257,4568/2024,2023-99-53-257,Oficio pronunciamiento con observaciones sobre adenda,"Servicio Agrícola y Ganadero, Dirección Nacional",Servicio de Evaluación Ambiental Dirección Ejecutiva,13/12/2024 14:26:41,https://seia.sea.gob.cl/archivos/2024/12/13/59d_45682024_SAG.pdf,2023-99-53-257|https://seia.sea.gob.cl/archivos/2024/12/13/59d_45682024_SAG.pdf
258,021-2024 SEIA,2023-99-53-258,Oficio pronunciamiento con observaciones al EIA,Servicio Nacional Turismo,3 destinatarios,13/12/2024 16:41:47,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163948592,2023-99-53-258|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163948592
259,37639/2024 SRM-RM,2023-99-53-259,Oficio pronunciamiento con observaciones sobre adenda,"SEREMI de Transportes y Telecomunicaciones, Región Metropolitana de Santiago",Servicio de Evaluación Ambiental Dirección Ejecutiva,16/12/2024 10:11:52,https://seia.sea.gob.cl/archivos/2024/12/16/fd0_376392024_SEREMI_MTT.pdf,2023-99-53-259|https://seia.sea.gob.cl/archivos/2024/12/16/fd0_376392024_SEREMI_MTT.pdf
260,OE-01570/2024,2023-99-53-260,Oficio pronunciamiento con observaciones sobre adenda,Ilustre Municipalidad de Illapel,Servicio de Evaluación Ambiental Dirección Ejecutiva,16/12/2024 10:18:41,https://seia.sea.gob.cl/archivos/2024/12/16/c0b_OE-015702024_Muni_Illapel.pdf,2023-99-53-260|https://seia.sea.gob.cl/archivos/2024/12/16/c0b_OE-015702024_Muni_Illapel.pdf
261,31,2023-99-53-261,Oficio pronunciamiento conforme sobre adenda,Dirección Nacional de Vialidad,Servicio de Evaluación Ambiental Dirección Ejecutiva,16/12/2024 10:57:07,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163942307,2023-99-53-261|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163942307
262,536,2023-99-53-262,Oficio pronunciamiento conforme sobre adenda,"SEREMI MOP, Región de Atacama",Servicio de Evaluación Ambiental Dirección Ejecutiva,16/12/2024 12:42:18,https://seia.sea.gob.cl/archivos/2024/12/16/954_ID_202403303857_ORD_536_SEREMI_MOP_ATACAMA.pdf,2023-99-53-262|https://seia.sea.gob.cl/archivos/2024/12/16/954_ID_202403303857_ORD_536_SEREMI_MOP_ATACAMA.pdf
263,103-1009/2024,2023-99-53-263,Oficio pronunciamiento con observaciones sobre adenda,Ilustre Municipalidad de Catemu,Servicio de Evaluación Ambiental Dirección Ejecutiva,16/12/2024 13:02:02,https://seia.sea.gob.cl/archivos/2024/12/16/d24_103-10092024_Muni_Catemu.pdf,2023-99-53-263|https://seia.sea.gob.cl/archivos/2024/12/16/d24_103-10092024_Muni_Catemu.pdf
264,2839,2023-99-53-264,Oficio pronunciamiento con observaciones sobre adenda,Ilustre Municipalidad de La Serena,Servicio de Evaluación Ambiental Dirección Ejecutiva,16/12/2024 15:54:57,https://seia.sea.gob.cl/archivos/2024/12/16/594_2839_Muni_La_Serena.pdf,2023-99-53-264|https://seia.sea.gob.cl/archivos/2024/12/16/594_2839_Muni_La_Serena.pdf
265,246514,2023-99-53-265,Oficio pronunciamiento con observaciones al EIA,Subsecretaría del Medio Ambiente,5 destinatarios,17/12/2024 00:02:14,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163896314,2023-99-53-265|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163896314
266,2024991021186,2023-99-53-266,Solicitud especial de pronunciamiento,Servicio de Evaluación Ambiental Dirección Ejecutiva,2 destinatarios,17/12/2024 16:09:01,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163980703,2023-99-53-266|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163980703
267,(D.AC.) ORD. SEIA. N° 597,2023-99-53-267,Oficio pronunciamiento conforme sobre adenda,Subsecretaría de Pesca y Acuicultura,11 destinatarios,17/12/2024 22:11:18,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163947712,2023-99-53-267|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163947712
268,1169,2023-99-53-268,Oficio pronunciamiento conforme sobre adenda,"Gobierno Regional, Región de Atacama",Servicio de Evaluación Ambiental Dirección Ejecutiva,18/12/2024 15:37:08,https://seia.sea.gob.cl/archivos/2024/12/19/c67_1169_GORE_Atacama.pdf,2023-99-53-268|https://seia.sea.gob.cl/archivos/2024/12/19/c67_1169_GORE_Atacama.pdf
269,0961,2023-99-53-269,Oficio pronunciamiento conforme sobre adenda,"SEREMI de Desarrollo Social y Familia, Región Metropolitana de Santiago",3 destinatarios,18/12/2024 16:16:35,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163986293,2023-99-53-269|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163986293
270,01/630/14-51/2024,2023-99-53-270,Oficio pronunciamiento con observaciones sobre adenda,Ilustre Municipalidad de Lampa,Servicio de Evaluación Ambiental Dirección Ejecutiva,20/12/2024 12:21:16,https://seia.sea.gob.cl/archivos/2024/12/20/c6f_0163014512024_Muni_Lampa.pdf,2023-99-53-270|https://seia.sea.gob.cl/archivos/2024/12/20/c6f_0163014512024_Muni_Lampa.pdf
271,31/3/3085,2023-99-53-271,Oficio pronunciamiento conforme sobre adenda,"Gobierno Regional, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,20/12/2024 15:10:59,https://seia.sea.gob.cl/archivos/2024/12/20/efe_31-3-3085_GORE_Valparaiso.pdf,2023-99-53-271|https://seia.sea.gob.cl/archivos/2024/12/20/efe_31-3-3085_GORE_Valparaiso.pdf
272,2721,2023-99-53-272,Oficio pronunciamiento con observaciones sobre adenda,Ilustre Municipalidad de San Antonio,Servicio de Evaluación Ambiental Dirección Ejecutiva,23/12/2024 08:33:12,https://seia.sea.gob.cl/archivos/2024/12/23/d56_2721_Muni_San_Antonio.pdf,2023-99-53-272|https://seia.sea.gob.cl/archivos/2024/12/23/d56_2721_Muni_San_Antonio.pdf
273,31/3/3085,2023-99-53-273,Oficio pronunciamiento con observaciones sobre adenda,"Gobierno Regional, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,24/12/2024 11:25:50,https://seia.sea.gob.cl/archivos/2024/12/24/57a_31-3-3085_GORE_Valparaiso.pdf,2023-99-53-273|https://seia.sea.gob.cl/archivos/2024/12/24/57a_31-3-3085_GORE_Valparaiso.pdf
274,1460 DBSN del 18.12.2024,2023-99-53-274,Oficio pronunciamiento conforme sobre adenda,Ministerio de Bienes Nacionales,Servicio de Evaluación Ambiental Dirección Ejecutiva,24/12/2024 12:00:24,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163990359,2023-99-53-274|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2163990359
275,1522,2023-99-53-275,Oficio pronunciamiento con observaciones sobre adenda,"SEREMI de Vivienda y Urbanismo, Región de Antofagasta",Servicio de Evaluación Ambiental Dirección Ejecutiva,26/12/2024 10:10:08,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2164030496,2023-99-53-275|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2164030496
276,023/2024 (SEA-SEIA-AD),2023-99-53-276,Oficio pronunciamiento con observaciones sobre adenda,SEREMI MOP Región Metropolitana de Santiago,Servicio de Evaluación Ambiental Dirección Ejecutiva,27/12/2024 09:09:10,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2164013487,2023-99-53-276|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2164013487
277,2769,2023-99-53-277,Oficio pronunciamiento con observaciones sobre adenda,"SEREMI de Vivienda y Urbanismo, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,27/12/2024 10:20:32,https://seia.sea.gob.cl/archivos/2024/12/27/3da_2769_SEREMI_Minvu_Valparaiso.pdf,2023-99-53-277|https://seia.sea.gob.cl/archivos/2024/12/27/3da_2769_SEREMI_Minvu_Valparaiso.pdf
278,4822,2023-99-53-278,Oficio pronunciamiento con observaciones sobre adenda,Ilustre Municipalidad de Pudahuel,Servicio de Evaluación Ambiental Dirección Ejecutiva,30/12/2024 14:55:26,https://seia.sea.gob.cl/archivos/2025/01/03/ID_202499303997_ORD_4822_Muni_de_Pudahuel.pdf,2023-99-53-278|https://seia.sea.gob.cl/archivos/2025/01/03/ID_202499303997_ORD_4822_Muni_de_Pudahuel.pdf
279,103-1053/2024,2023-99-53-279,Oficio pronunciamiento con observaciones sobre adenda,Ilustre Municipalidad de Catemu,Servicio de Evaluación Ambiental Dirección Ejecutiva,30/12/2024 16:30:18,https://seia.sea.gob.cl/archivos/2025/01/03/ID_202499303998_Of_103-1053_Muni_de_Catemu.pdf,2023-99-53-279|https://seia.sea.gob.cl/archivos/2025/01/03/ID_202499303998_Of_103-1053_Muni_de_Catemu.pdf
280,7372024,2023-99-53-280,Oficio pronunciamiento con observaciones sobre adenda,Ilustre Municipalidad de Sierra Gorda,Servicio de Evaluación Ambiental Dirección Ejecutiva,31/12/2024 11:59:22,https://seia.sea.gob.cl/archivos/2025/01/03/ID_202402303784_OF_737_Muni_de_Sierra_Gorda.pdf,2023-99-53-280|https://seia.sea.gob.cl/archivos/2025/01/03/ID_202402303784_OF_737_Muni_de_Sierra_Gorda.pdf
281,B32/3604,2023-99-53-281,Oficio pronunciamiento con observaciones sobre adenda,"Subsecretaría de Salud Pública, Ministerio de Salud",9 destinatarios,03/01/2025 16:24:05,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2164137348,2023-99-53-281|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2164137348
